"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,2,4,2,2,1,3,2,3,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,3,1,2,2,2,1,2,0,1,2,2,3,1,1,2,1,1,2,1,1
"34",1,1,3,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,0,1,2,2,1,1,2,1,1,2,1,1
"35",2,1,3,2,2,2,2,1,2,3,2,2,2,3,2,2,2,3,3,2,2,3,1,2,2,1,3,2,2,2,2,1,3,1,0,2,1,2,2,2,2,2,3,1,2
"36",3,2,4,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,1,2,2,3,3,2,2,3,2,3,3,3,2,0,3,3,2,2,2,2,3,1,1
"37",3,2,4,3,3,3,3,2,3,4,3,3,3,4,3,3,3,4,4,3,3,4,2,3,3,2,4,3,3,3,3,1,4,2,1,3,0,3,3,3,3,3,4,2,3
"38",2,2,4,2,1,2,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,2,1,1,3,3,2,2,2,2,1,3,3,2,2,3,3,0,3,3,3,2,1,3,3
"39",2,2,4,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,0,2,1,1,2,1,2
"40",3,2,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,2,3,2,1,2,2,3,2,0,2,2,3,1,2
"41",1,1,3,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1
"42",1,2,4,2,2,1,3,2,3,2,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,0,2,1,1
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"44",2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,0,1
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
