"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"32",2,1,2,2,2,2,2,2,2,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,2,NA,3,1,2,2,0,2,2,1,3,1,3,2,2,1,2,NA,2,NA
"33",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,4,NA,3,1,2,2,NA,0,2,3,3,4,3,2,3,1,2,NA,2,NA
"34",1,2,3,1,2,2,3,3,3,3,2,1,1,2,3,2,1,NA,2,1,2,3,2,2,NA,2,NA,3,1,1,1,NA,1,0,1,3,2,2,2,2,1,1,NA,2,NA
"35",2,1,2,1,1,2,2,2,2,3,2,1,1,2,2,2,2,NA,2,1,2,2,1,2,NA,1,NA,2,1,1,2,NA,2,1,0,2,1,2,1,1,1,1,NA,1,NA
"36",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,3,NA,3,1,2,2,NA,2,2,2,0,3,3,2,2,1,2,NA,1,NA
"37",3,2,3,2,2,3,3,3,3,4,3,2,2,3,3,3,3,NA,3,2,3,3,2,3,NA,2,NA,3,2,2,3,NA,3,2,1,3,0,3,2,2,2,2,NA,2,NA
"38",1,2,3,1,1,3,3,3,3,3,2,1,2,2,3,3,1,NA,2,1,2,3,2,1,NA,3,NA,3,1,2,1,NA,1,1,2,3,3,0,2,3,1,2,NA,2,NA
"39",2,3,3,1,2,2,4,3,3,3,2,1,1,2,3,2,2,NA,3,1,2,3,2,3,NA,3,NA,3,1,1,2,NA,1,1,2,2,3,3,0,2,1,1,NA,1,NA
"40",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,3,NA,3,1,2,2,NA,2,2,2,2,3,3,2,0,1,2,NA,1,NA
"41",2,3,3,1,2,2,4,3,3,2,2,1,1,1,3,2,2,NA,3,1,2,3,2,3,NA,3,NA,3,1,1,2,NA,1,1,2,2,3,3,1,2,0,1,NA,1,NA
"42",1,2,2,1,2,2,3,2,2,3,2,1,1,2,2,2,1,NA,2,1,2,2,1,2,NA,3,NA,2,1,1,1,NA,1,1,2,2,3,2,1,2,1,0,NA,1,NA
"43",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,1,NA,4,NA,3,1,2,2,NA,2,2,3,3,4,1,2,3,1,2,0,2,NA
"44",2,2,3,1,2,2,3,3,3,3,2,1,1,2,3,2,2,NA,3,1,2,3,2,3,NA,2,NA,3,1,1,2,NA,1,1,1,1,2,3,1,1,1,1,NA,0,NA
"45",2,3,3,1,2,1,4,3,3,1,1,1,1,2,3,2,2,NA,3,1,2,3,2,3,1,3,NA,3,1,1,2,NA,1,1,2,1,3,3,2,2,1,1,NA,1,0
